id,lang,question,gpt55_product,gpt55_manual,current_agent_type,current_product,current_manual,same_agent,same_product,same_manual,match,current_reason,gpt55_time,current_time
64,zh,使用吹风机时，人员需要佩戴哪些防护装备？,吹风机,吹风机手册,expert,吹风机,吹风机手册,True,True,True,True,规则命中产品手册,2026-05-25T17:13:44,2026-06-04T21:45:35
65,zh,操作吹风机时，人员需要注意哪些安全要点？,吹风机,吹风机手册,expert,吹风机,吹风机手册,True,True,True,True,规则命中产品手册,2026-05-25T17:14:07,2026-06-04T21:45:35
66,zh,使用吹风机时，如何调节化油器？,吹风机,吹风机手册,expert,吹风机,吹风机手册,True,True,True,True,规则命中产品手册,2026-05-25T17:14:07,2026-06-04T21:45:35
67,zh,吹风机冷机时，该如何启动？,吹风机,吹风机手册,expert,吹风机,吹风机手册,True,True,True,True,规则命中产品手册,2026-05-25T17:14:11,2026-06-04T21:45:35
68,zh,吹风机热机时，该如何启动？,吹风机,吹风机手册,expert,吹风机,吹风机手册,True,True,True,True,规则命中产品手册,2026-05-25T17:15:22,2026-06-04T21:48:01
69,zh,该如何关闭吹风机？,吹风机,吹风机手册,expert,吹风机,吹风机手册,True,True,True,True,规则命中产品手册,2026-05-25T17:15:09,2026-06-04T21:50:39
70,zh,空调的重要组成部件有哪些？,空调,空调手册,expert,空调,空调手册,True,True,True,True,规则命中产品手册,2026-05-25T17:15:11,2026-06-04T21:50:48
71,zh,如何找到空调遥控器的按键？,空调,空调手册,expert,空调,空调手册,True,True,True,True,规则命中产品手册,2026-05-25T17:15:37,2026-06-04T21:50:48
72,zh,如何给空调遥控器安装电池？,空调,空调手册,expert,空调,空调手册,True,True,True,True,规则命中产品手册,2026-05-25T17:15:41,2026-06-04T21:51:48
73,zh,如何安装空调遥控器支架？,空调,空调手册,expert,空调,空调手册,True,True,True,True,规则命中产品手册,2026-05-25T17:15:34,2026-06-04T21:52:43
74,zh,如何用空调快速调节室内温度？,空调,空调手册,expert,空调,空调手册,True,True,True,True,规则命中产品手册,2026-05-25T17:15:52,2026-06-04T21:53:03
75,zh,如何使用空调的自清洁运行功能？,空调,空调手册,expert,空调,空调手册,True,True,True,True,规则命中产品手册,2026-05-25T17:15:54,2026-06-04T21:53:09
76,zh,如何使用空调的等离子净化功能？,空调,空调手册,expert,空调,空调手册,True,True,True,True,规则命中产品手册,2026-05-25T17:15:54,2026-06-04T21:54:10
77,zh,单冷型空调如何开启自动运行模式？,空调,空调手册,expert,空调,空调手册,True,True,True,True,规则命中产品手册,2026-05-25T17:16:10,2026-06-04T21:54:42
