id,question,mode,status,elapsed,agent_type,product_name,manual_name,ret,error
1,"""请问你们家的商品支持7天无理由退换货吗？"",
""需要自己承担运费吗？""",reuse_customer,ok,0.00,customer,,,"您好，店内大部分商品支持 **7天无理由退换货**，需在签收后7天内申请，并保证商品不影响二次销售（包装、吊牌/配件、赠品等齐全）。

运费规则一般如下：  
- **个人原因退换**（不喜欢、拍错、尺码不合适等）：寄回运费通常由买家承担。  
- **商品质量问题、错发/漏发等商家原因**：运费由我们承担。  
- 如商品页面标注“不支持7天无理由”（如定制类、拆封后影响二次销售等），则按页面规则执行。

您可以在订单里点击【申请售后】提交，我们会尽快为您处理。",
2,"""我想咨询一下，你们的售后维修服务范围是什么？"",
""如果是人为损坏的，能维修吗？维修费用怎么算？""",reuse_customer,ok,0.00,customer,,,"您好，可以的。一般售后维修服务范围包括：

1. **保修期内非人为故障**：如产品本身质量问题、正常使用下出现功能异常等，可按售后政策检测维修。  
2. **保修期外故障**：可提供检测及付费维修服务。  
3. **配件/部件问题**：如可更换部件损坏，检测后可更换维修。  

如果是**人为损坏**（如摔坏、进水、私自拆修、使用不当导致损坏等），通常不属于免费保修范围，但**可以申请付费维修**。费用一般会根据检测结果核算，包含可能的**配件费、维修人工费**，以及如需寄回的**物流费用**等。具体金额需售后检测后给出报价，您确认后再维修。

您可以提供一下**订单号、产品型号、故障描述和照片/视频**，我们帮您先初步判断并登记售后。",
3,"""请问你们的商品能开发票吗？发票类型是什么？"",
""多久能收到呢？""",reuse_customer,ok,0.00,customer,,,"您好，可以开发票的。  

**发票类型**一般支持：  
1. **电子普通发票**（常用，个人/企业均可）  
2. **增值税专用发票**（如需专票，请提供公司抬头、税号、注册地址电话、开户行及账号等信息，具体以店铺/平台支持为准）

**开票时间**：通常在订单完成/确认收货后申请开具，电子发票一般会在 **1–3个工作日** 内开出，并通过短信、邮箱或订单发票入口查看下载。  

您下单后可在订单页面申请发票；如果找不到入口，也可以把订单号和开票信息发给我们，我们帮您核实处理。",
4,"""我收到商品后，发现包装破损了，怎么办？"",
""影响商品退换货吗？""",reuse_customer,ok,0.00,customer,,,"您好，建议您先这样处理：

1. **拍照/录像留证**：请拍下外包装破损处、快递面单、商品本体及配件情况。  
2. **检查商品是否受损**：如商品有破损、缺件或无法正常使用，请尽快联系店铺客服申请售后。  
3. **保留包装**：在售后处理完成前，请暂时保留外包装、内包装和全部配件，方便核实。

关于是否影响退换货：  
- **仅快递外包装破损，商品本身完好**，一般不影响正常退换货申请。  
- 如果**商品原包装/商品本体受损**，请提供照片，我们会根据情况为您处理退换货、补发或赔付。  

您可以把破损照片和订单号发给客服，我们会尽快帮您核实处理。",
6,"""我想了解一下你们的退款政策，退款多久能到账？"",
""信用卡会原路返回吗？""",reuse_customer,ok,0.00,customer,,,"您好，我们的退款一般会按原支付方式退回。

- **退款政策**：符合售后条件的订单（如未影响二次销售、在可退换期限内等）可申请退款/退货退款；退货退款通常需在商品寄回并验收通过后处理。
- **到账时间**：退款审核通过并发起后，通常 **1–7个工作日**到账，具体以支付平台/银行处理时间为准。
- **信用卡退款**：会**原路退回至原信用卡账户**，一般会在信用卡账单中体现，可能不是实时入账；若遇到账单日，可能显示在下期账单或作为冲正/退款记录。

您可以在订单详情页查看退款进度；如果超过预计时间仍未到账，建议提供订单号，我们帮您进一步核查。",
7,"""我收到的商品和图片不一样，颜色偏差很大，我要投诉！""",reuse_customer,ok,0.00,customer,,,"非常抱歉给您带来不好的购物体验，我们会认真处理您的投诉。

请您先提供以下信息，方便我们核实并尽快解决：  
1. 订单号  
2. 收到商品的实拍照片/视频（尽量在自然光下拍摄）  
3. 商品页面展示图或您认为差异较大的位置截图  

核实后，如果确实存在明显色差或与页面描述不符，我们会为您优先安排退货退款、换货或补偿方案，并将问题反馈给商品/页面审核部门处理。

您可以直接把订单号和照片发给我，我马上帮您登记投诉并跟进。",
8,"""你们的商品存在虚假宣传，宣传的功能和实际不一样，我要投诉！""",reuse_customer,ok,0.00,customer,,,"非常抱歉给您带来不好的购物体验，我们重视您的投诉。为了尽快核实处理，请您提供以下信息：

1. 订单号/购买账号  
2. 商品名称或链接  
3. 您认为宣传不一致的功能点  
4. 宣传页面截图、实物使用情况照片/视频等凭证  

收到后我们会立即登记投诉并反馈给专员核查。若确认商品描述与实际不符，我们将按平台及售后规则为您办理退货退款、换货或其他合理处理方案，并尽快给您明确答复。您也可以直接在订单页面发起“投诉/售后申请”，我们会同步跟进。",
9,"""我收到的商品少了一件，联系客服说会补发，但是过了一周还没补发！""",reuse_customer,ok,0.00,customer,,,"非常抱歉让您久等了，也理解您已经等了一周还没补发的着急心情。

请您把以下信息发我，我马上帮您核实并催办：  
1. 订单号  
2. 少发的商品名称/数量  
3. 之前客服承诺补发的时间或聊天截图（如有）  

核实后我们会优先为您处理：  
- 如补发单已生成：立即查询物流并反馈单号；  
- 如还未发出：帮您加急补发；  
- 如暂时无法补发：可为您申请退款或其他解决方案。  

我会尽快给您明确处理结果。",
10,"""你们的售后维修服务太差了，我送修的商品，过了半个月还没修好！""",reuse_customer,ok,0.00,customer,,,"非常抱歉给您带来这么差的售后体验，也理解您等了半个月还没修好会很着急。

麻烦您提供一下**订单号/售后单号、商品名称、送修时间和联系方式**，我这边会立即帮您核实维修进度，并反馈给售后维修点**加急处理**。  
如果确实存在超时或进度异常，我们会协助您跟进解决方案，例如：**加急维修、确认预计完成时间、申请换新/退款等可行处理**（以售后检测结果和平台规则为准）。

您把信息发我后，我马上帮您查。",
11,"""你们的商品保质期有问题，我收到的商品还有1个月就过期了！""",reuse_customer,ok,0.00,customer,,,"非常抱歉给您带来不好的体验。请您先不要拆封/使用该商品，并将以下信息发给我们核实：

1. 订单号  
2. 商品外包装保质期/生产日期/批号照片  
3. 收到商品的快递面单照片（如还在）

我们会尽快为您核查。如果确认收到的是临近效期且不符合发货标准，我们会为您安排退换货或退款处理，并承担相应运费。您把照片发来后，我马上帮您跟进。",
