id,question,gpt55_product,current_product,gpt55_manual,current_manual,gpt55_top1_key,current_top1_key,top1_same,retrieval_set_same,overlap_count,gpt55_retrieval_count,current_retrieval_count,gpt55_toc_like_top2,current_toc_like_top2,gpt55_answer_not_provided,current_answer_not_provided,gpt55_top1_preview,current_top1_preview
64,使用吹风机时，人员需要佩戴哪些防护装备？,吹风机,吹风机,吹风机手册.txt,吹风机手册.txt,"(0, 457, 723)","(0, 457, 687)",False,False,0,4,6,False,False,False,False,# 个人防护装备 使用吹风机的人员需佩戴以下防护装备： 1. 合格的听力防护装备 2. 合格的眼部防护装备。 3. 在多尘环境中操作时佩戴面罩。 4. 防滑鞋底的工作靴或工作鞋 5. 急救箱。 <PIC> # 人身安全 以下说明适用于吹风机操作人员： 1. 操作人员必须阅读并理解本说明书内容。 2. 请勿穿着宽松衣物、佩戴围巾或项链，长发需束起，以免被吹风机旋转部件卷入造成伤害。 3. 饮酒、服药后或疲劳状态下请勿操作吹风机。 4. 禁止未成年人操作吹风机 # 燃油安全 <PIC> 本吹风机所用燃油有专门安全说明，相关规定详见,# 个人防护装备 使用吹风机的人员需佩戴以下防护装备： 1. 合格的听力防护装备 2. 合格的眼部防护装备。 3. 在多尘环境中操作时佩戴面罩。 4. 防滑鞋底的工作靴或工作鞋 5. 急救箱。 <PIC> # 人身安全 以下说明适用于吹风机操作人员： 1. 操作人员必须阅读并理解本说明书内容。 2. 请勿穿着宽松衣物、佩戴围巾或项链，长发需束起，以免被吹风机旋转部件卷入造成伤害。 3. 饮酒、服药后或疲劳状态下请勿操作吹风机。 4. 禁止未成年人操作吹风机
65,操作吹风机时，人员需要注意哪些安全要点？,吹风机,吹风机,吹风机手册.txt,吹风机手册.txt,"(0, 457, 723)","(0, 0, 255)",False,False,0,4,7,False,False,False,False,# 个人防护装备 使用吹风机的人员需佩戴以下防护装备： 1. 合格的听力防护装备 2. 合格的眼部防护装备。 3. 在多尘环境中操作时佩戴面罩。 4. 防滑鞋底的工作靴或工作鞋 5. 急救箱。 <PIC> # 人身安全 以下说明适用于吹风机操作人员： 1. 操作人员必须阅读并理解本说明书内容。 2. 请勿穿着宽松衣物、佩戴围巾或项链，长发需束起，以免被吹风机旋转部件卷入造成伤害。 3. 饮酒、服药后或疲劳状态下请勿操作吹风机。 4. 禁止未成年人操作吹风机 # 燃油安全 <PIC> 本吹风机所用燃油有专门安全说明，相关规定详见,<PIC> # 225B 使用说明书 使用吹风机前，请仔细阅读使用说明书并确保理解相关内容。 安全说明。产品描述 燃油处理 .12 启动与停机 . .14 吹风机使用 .16 维护保养 20 技术参数. .25 排放控制装置和系统的维护、更换或维修可由任何非道路发动机维修机构或个人进行。 胡斯华纳公司秉持产品持续开发政策，因此保留在不事先通知的情况下修改产品设计与外观的权利。 本使用说明书详细介绍了吹风机的使用、保养及日常维护方法。同时说明操作吹风机时如何实现最高安全性、安全装置的工作方式及维护方法。
66,使用吹风机时，如何调节化油器？,吹风机,吹风机,吹风机手册.txt,吹风机手册.txt,"(0, 4790, 5243)","(0, 5088, 5243)",False,False,0,4,4,False,False,False,False,# 吸尘作业 开始吸尘前，佩戴所需防护装备。 <PIC> <PIC> 操作吹风机时，设备与集尘袋需通过肩带固定，按图示将肩带挎在肩上。<PIC>警告！启动吹风机前，务必检查集尘袋完好且拉链闭合，严禁使用破损集尘袋，避免杂物飞溅伤人。操作时需小心，尤其是左手操作时。避免身体直接接触排气口区域。 <PIC> 警告！检修盖未关闭、损坏或无法闭合时，严禁启动吹风机（安装吸尘管时除外）。 警告！站在梯子或支架上时严禁操作吹风机。 按第 13 页说明启动吹风机，按以下要求作业： 1. 请勿吸入木材、罐头等可能损坏风扇的大型硬物。 2. 避免吸尘管撞击地面。 3. 拉开集尘袋侧面拉链即可清空袋内杂物。 # ,# 化油器 化油器出厂时已精密预设，因气候、海拔、汽油及二冲程机油类型差异可能需要额外调节。以下说明介绍化油器调节方法。 化油器通过油门控制发动机转速，实现空气与燃油混合，空燃比可调。正确设置才能发挥吹风机最大输出功率。 化油器设有三处调节装置： H= 高速油针 L= 低速油针 T= 怠速调节螺钉 <PIC>
67,吹风机冷机时，该如何启动？,吹风机,吹风机,吹风机手册.txt,吹风机手册.txt,"(0, 3499, 3968)","(0, 6142, 6317)",False,False,0,4,5,False,False,False,False,# 加油操作 <PIC>・清洁燃油盖周边区域，油箱内杂质会影响设备运行。・加油前摇晃容器确保燃油混合均匀。 <PIC> # 启动与停机 启动 <PIC> 冷机启动 点火：将停机开关调至启动位置 阻风门：将阻风门控制器调至阻风门位置（A），该位置同时为自动启动油门位置。 泵油：反复按压泵油膜片直至燃油充满膜片，无需完全充满。 <PIC> 热机启动 <PIC> 点火：将停机开关调至启动位置 阻风门：先将阻风门控制器调至阻风门位置，再转回原位（B），仅启用启动油门，不使用阻风门。 泵油：反复按压泵油膜片直至燃油充满膜片，无需完全充满。 <PIC> 左手将设备机身按压在地面（注意！切勿用脚踩压）。右手,# 注意！ 严禁使用消音器损坏的设备。 # 冷却系统 发动机配备冷却系统以维持合适工作温度。 冷却系统包含以下部件： 1. 启动装置进气口。 2. 飞轮风扇叶片。 3. 气缸散热片。 4. 气缸罩（引导冷却气流吹向气缸表面）。 <PIC> 每周至少用刷子清洁一次冷却系统，工况多尘时增加清洁频次。 冷却系统脏污或堵塞会导致吹风机过热，损坏气缸与活塞。
68,吹风机热机时，该如何启动？,吹风机,吹风机,吹风机手册.txt,吹风机手册.txt,"(0, 3499, 3968)","(0, 5504, 5771)",False,False,0,4,6,False,False,False,False,# 加油操作 <PIC>・清洁燃油盖周边区域，油箱内杂质会影响设备运行。・加油前摇晃容器确保燃油混合均匀。 <PIC> # 启动与停机 启动 <PIC> 冷机启动 点火：将停机开关调至启动位置 阻风门：将阻风门控制器调至阻风门位置（A），该位置同时为自动启动油门位置。 泵油：反复按压泵油膜片直至燃油充满膜片，无需完全充满。 <PIC> 热机启动 <PIC> 点火：将停机开关调至启动位置 阻风门：先将阻风门控制器调至阻风门位置，再转回原位（B），仅启用启动油门，不使用阻风门。 泵油：反复按压泵油膜片直至燃油充满膜片，无需完全充满。 <PIC> 左手将设备机身按压在地面（注意！切勿用脚踩压）。右手,# 低速油针 L 1. 检查吹风管（15）与喷口（14）已安装到位。 2. 将 H、L 调节螺钉逆时针旋至限位终点。 3. 按第 13 页启动吹风机发动机，怠速与半油门交替运转 1-2 分钟预热。若发动机无法怠速运转，顺时针旋动 T 螺钉直至正常怠速。 4. 调节 T 螺钉，使发动机精准维持怠速，转速不偏高。 5. 微调 L 螺钉，使发动机达到最大怠速转速，然后将 L 螺钉逆时针旋出最多 1/4 圈。 6. 必要时旋动 T 螺钉提升发动机转速。 注意！调节 H 油针时，全油门持续时间最长 10 秒，之后需怠速运转至少 10 秒。
69,该如何关闭吹风机？,吹风机,吹风机,吹风机手册.txt,吹风机手册.txt,"(0, 3969, 4415)","(0, 3930, 4086)",False,False,0,4,7,False,False,False,False,# 安装吹风管与喷口 <PIC> 吹风管与喷口采用卡口式连接，安装步骤如下： 1. 将吹风管（15）对准吹风机出风口，旋转 90 度直至听到咔嗒声。 2. 将喷口（14）安装至吹风管（15），旋转 90 度直至听到咔嗒声。 <PIC> # 吹扫作业 开始吹扫前，佩戴所需防护装备。 <PIC> <PIC> 操作吹风机时，需通过肩带固定设备，按图示将肩带挎在肩上。 <PIC> <PIC> 警告！ 严禁将吹风机喷口对准人或动物。高速气流可能夹带颗粒物，尤其吹风机曾用于吸尘作业时，易造成严重伤害。 操作时需小心，尤其是左手操作时。避免身体直接接触排气口区域。 警告！检修盖未关闭、损坏或无法闭合时，严禁,# 停机 通过停机开关切断点火电源关闭发动机。 <PIC> # 吹扫地面杂物 # 安装吹风管与喷口 <PIC> 吹风管与喷口采用卡口式连接，安装步骤如下： 1. 将吹风管（15）对准吹风机出风口，旋转 90 度直至听到咔嗒声。 2. 将喷口（14）安装至吹风管（15），旋转 90 度直至听到咔嗒声。 <PIC>
70,空调的重要组成部件有哪些？,空调,空调,空调手册.txt,空调手册.txt,"(0, 2565, 3076)","(0, 2769, 3019)",False,False,0,4,4,False,False,False,False,# 目录 # 2 节能小贴士 # 3 重要安全说明 # 7 使用前准备 7 部件介绍 8 遥控器的使用 9 安装电池 9 安装遥控器支架 # 10 基本功能 10 室内制冷 10 室内制热 10 除湿 11 室内换气 11 调节风扇转速 11 调节出风方向 11 定时设置 11 设置当前时间 12 定时开机 12 定时关机 12 取消定时设置 12 睡眠模式设置 # 13 高级功能 13 快速调节室内温度 13 室内空气净化 13 自清洁运行 14 等离子净化运行 14 自动运行 15 自动转换运行 15 节能制冷模式 15 显示屏亮度调节 16 无遥控器操作空调 16 空调自动重启 # 17,# 13 高级功能 13 快速调节室内温度 13 室内空气净化 13 自清洁运行 14 等离子净化运行 14 自动运行 15 自动转换运行 15 节能制冷模式 15 显示屏亮度调节 16 无遥控器操作空调 16 空调自动重启 # 17 维护保养 18 清洁空气滤网 18 清洁 3M 多重防护滤网 18 清洁等离子滤网 # 19 故障排除 19 自诊断功能 19 报修前检查 # 使用前准备 # 部件介绍 室内机 <PIC> * 功能会根据机型有所调整。
71,如何找到空调遥控器的按键？,空调,空调,空调手册.txt,空调手册.txt,"(0, 3078, 3486)","(0, 3020, 3155)",False,False,0,4,4,False,False,False,False,# 遥控器的使用 使用遥控器可更便捷地操作空调，附加功能的按键位于遥控器盖板下方。 # 无线遥控器 <PIC> * 部分功能可能因机型不同而不支持。 # 安装电池 使用遥控器前，请先安装电池，适用电池型号为 7 号。1 取下电池盖。 <PIC> 2 装入新电池，确保电池正、负极安装正确。 <PIC> 3 重新装上电池盖。 # 注 若遥控器显示屏开始变暗，请更换电池。 # 安装遥控器支架 将支架安装在无阳光直射的位置，以保护遥控器。 1 选择安全且便于取用的位置。 2 用螺丝刀将两颗螺丝拧紧，固定支架。 <PIC> 3 将遥控器滑入支架中。 <PIC> # 操作方法 将遥控器对准空调底部的信号接,# 注 操作指示灯的数量及其位置可能因空调型号而异。 # 室外机 <PIC> * 功能会根据机型有所调整。 # 遥控器的使用 使用遥控器可更便捷地操作空调，附加功能的按键位于遥控器盖板下方。 # 无线遥控器 <PIC> * 部分功能可能因机型不同而不支持。
72,如何给空调遥控器安装电池？,空调,空调,空调手册.txt,空调手册.txt,"(0, 3078, 3486)","(0, 3157, 3367)",False,False,0,4,4,False,False,False,False,# 遥控器的使用 使用遥控器可更便捷地操作空调，附加功能的按键位于遥控器盖板下方。 # 无线遥控器 <PIC> * 部分功能可能因机型不同而不支持。 # 安装电池 使用遥控器前，请先安装电池，适用电池型号为 7 号。1 取下电池盖。 <PIC> 2 装入新电池，确保电池正、负极安装正确。 <PIC> 3 重新装上电池盖。 # 注 若遥控器显示屏开始变暗，请更换电池。 # 安装遥控器支架 将支架安装在无阳光直射的位置，以保护遥控器。 1 选择安全且便于取用的位置。 2 用螺丝刀将两颗螺丝拧紧，固定支架。 <PIC> 3 将遥控器滑入支架中。 <PIC> # 操作方法 将遥控器对准空调底部的信号接,# 安装电池 使用遥控器前，请先安装电池，适用电池型号为 7 号。1 取下电池盖。 <PIC> 2 装入新电池，确保电池正、负极安装正确。 <PIC> 3 重新装上电池盖。 # 注 若遥控器显示屏开始变暗，请更换电池。 # 安装遥控器支架 将支架安装在无阳光直射的位置，以保护遥控器。 1 选择安全且便于取用的位置。 2 用螺丝刀将两颗螺丝拧紧，固定支架。 <PIC> 3 将遥控器滑入支架中。 <PIC>
73,如何安装空调遥控器支架？,空调,空调,空调手册.txt,空调手册.txt,"(0, 3078, 3486)","(0, 3157, 3367)",False,False,0,4,4,False,False,False,False,# 遥控器的使用 使用遥控器可更便捷地操作空调，附加功能的按键位于遥控器盖板下方。 # 无线遥控器 <PIC> * 部分功能可能因机型不同而不支持。 # 安装电池 使用遥控器前，请先安装电池，适用电池型号为 7 号。1 取下电池盖。 <PIC> 2 装入新电池，确保电池正、负极安装正确。 <PIC> 3 重新装上电池盖。 # 注 若遥控器显示屏开始变暗，请更换电池。 # 安装遥控器支架 将支架安装在无阳光直射的位置，以保护遥控器。 1 选择安全且便于取用的位置。 2 用螺丝刀将两颗螺丝拧紧，固定支架。 <PIC> 3 将遥控器滑入支架中。 <PIC> # 操作方法 将遥控器对准空调底部的信号接,# 安装电池 使用遥控器前，请先安装电池，适用电池型号为 7 号。1 取下电池盖。 <PIC> 2 装入新电池，确保电池正、负极安装正确。 <PIC> 3 重新装上电池盖。 # 注 若遥控器显示屏开始变暗，请更换电池。 # 安装遥控器支架 将支架安装在无阳光直射的位置，以保护遥控器。 1 选择安全且便于取用的位置。 2 用螺丝刀将两颗螺丝拧紧，固定支架。 <PIC> 3 将遥控器滑入支架中。 <PIC>
74,如何用空调快速调节室内温度？,空调,空调,空调手册.txt,空调手册.txt,"(0, 3488, 3997)","(0, 4890, 5049)",False,False,0,4,4,False,False,False,False,# 室内制冷（制冷模式） 1 按下开 / 关键开启电源。 2 反复按下模式键，选择制冷模式，显示屏上会显示雪花图标。 <PIC> 3 按下温度上升 / 下降键，设置所需温度，温度调节范围为 18-30 摄氏度。 # 室内制热（制热模式） 1 按下开 / 关键开启电源。 2 反复按下模式键，选择制热模式，显示屏上会显示太阳图标。 <PIC> 3 按下温度上升 / 下降键，设置所需温度，温度调节范围为 16-30 摄氏度。 # 注 单冷型机型不支持此功能。 # 除湿（除湿模式） 该模式可在高湿度环境或雨季去除多余湿气，防止霉菌滋生，此模式会自动调节室内温度和风扇转速，保持最佳湿度水平。 1 按下开,# 快速调节室内温度 （极速制冷 / 制热模式） 该模式可在夏季快速冷却室内空气，或在冬季快速提升室内温度。 1 按下开 / 关键开启电源。 2 按下极速键。 <PIC> - 极速制冷模式下，空调将以 18 摄氏度的温度强风出风 30 分钟。 - 极速制热模式下，空调将以 30 摄氏度的温度强风出风 30 分钟。
75,如何使用空调的自清洁运行功能？,空调,空调,空调手册.txt,空调手册.txt,"(0, 4890, 5401)","(0, 5050, 5209)",False,False,0,4,4,False,False,False,False,# 快速调节室内温度 （极速制冷 / 制热模式） 该模式可在夏季快速冷却室内空气，或在冬季快速提升室内温度。 1 按下开 / 关键开启电源。 2 按下极速键。 <PIC> - 极速制冷模式下，空调将以 18 摄氏度的温度强风出风 30 分钟。 - 极速制热模式下，空调将以 30 摄氏度的温度强风出风 30 分钟。 # 注 ・循环、自动或自动转换模式下，无法使用此功能。 ・部分机型不支持此功能。 # 室内空气净化 # 自清洁运行 制冷和除湿运行时，室内机内部会产生水汽，可使用自清洁功能去除水汽。 1 按下自清洁键，显示屏上会显示自清洁标识。 <PIC> - 若关闭电源，风扇将继续运行 30 分钟,# 注 ・循环、自动或自动转换模式下，无法使用此功能。 ・部分机型不支持此功能。 # 室内空气净化 # 自清洁运行 制冷和除湿运行时，室内机内部会产生水汽，可使用自清洁功能去除水汽。 1 按下自清洁键，显示屏上会显示自清洁标识。 <PIC> - 若关闭电源，风扇将继续运行 30 分钟，对室内机内部进行清洁。
