id,question,gpt55_product,current_product,same_product,retrieval_token_jaccard,question_token_coverage_gpt55,question_token_coverage_current,gpt55_retrieval_chars,current_retrieval_chars,gpt55_image_count,current_image_count,image_overlap_count,gpt55_answer_chars,current_answer_chars,answer_char_delta_current_minus_gpt55,gpt55_not_provided,current_not_provided,gpt55_sections,current_sections,gpt55_top_text,current_top_text
241,"If this is the first time to use airfryer, What should I do before first use?",Airfryer,Airfryer,True,0.311,0.333,0.667,1063,1846,9,4,3,169,219,50,False,False,"Before first use 1Remove all packing material 2Remove any stickers or labels (if available | Caution This is an Air fryer that works on hot air.Do not fill the pan with oil,fryingfat | Note If you donot have a voice controlApp,download it first to send commands to the Air fr | Preparing for use Place the appliance on as table,horizontal,level and heat-resistant surf | TABLE OF CONTENTS Important 3 Introduction 7 General description 7 Before first use 9 The","Before first use 1Remove all packing material 2Remove any stickers or labels (if available | TABLE OF CONTENTS Important 3 Introduction 7 General description 7 Before first use 9 The | Preparing for use Place the appliance on as table,horizontal,level and heat-resistant surf | Note Donotput anything on top or on the sides of the appliance.This could disrupt the air","# Before first use 1Remove all packing material 2Remove any stickers or labels (if available) from the appliance 3Thoroughly clean the appliance before first use, as indicated in the cleaning chapter. # Caution This is an Air fryer that works on hot air.Do not fill the pan with oil,fryingfat or any other liquid. Do not touch hot surfaces.Use handles orknobs.Handle the hot pan with oven-safegloves. This appliance is for household use only This appliance may produce some smoke when you use it for t # Note If you donot have a voice controlApp,download it first to send commands to the Air fryer. Detailed voice commands are available in the App for voice control # Preparing for use Place the appl","# Before first use 1Remove all packing material 2Remove any stickers or labels (if available) from the appliance 3Thoroughly clean the appliance before first use, as indicated in the cleaning chapter. User manual # TABLE OF CONTENTS Important 3 Introduction 7 General description 7 Before first use 9 The NutriU App 9 Preparing for use 10 Using the appliance Food table 10 Airfrying 12 Choosing the keep warm mode 15 Cooking with a preset 16 Changing to another preset 17 Starting a recipe from the NutriU App 18 Making home-made fries 19 Cleaning 20 Cleaning table 21 Storage 21 Recycling 22 Declaration of Conformity 22 Guarantee and support 22 Software updates 22 Device compatibility 22 Factory r"
242,How to find the approval label of emission control certificate of the boat?,2021 Boat 210FSH SPORT 210FSH DELUXE,2021 Boat 210FSH SPORT 210FSH DELUXE,True,0.385,0.714,0.857,1203,994,5,4,2,189,145,-44,False,False,Approval label of emission control certificate These labels are attached to each engine un | Manufactur | General and important labels...........1 Identification number records..........1 Primary | Engine serial number The engine serial numbers are stamped on a label attached to each eng | Port side Starboard side <PIC> | Emission control information This engine family conforms to U.S. Environm | A Access port cap check ............................ 89 Accessory outlet .................,Approval label of emission control certificate These labels are attached to each engine un | Important labels Read the following labels before operating this boat. If you need any add,# Approval label of emission control certificate These labels are attached to each engine unit and to the inside of the engine compartment. (See page 56 for engine hood opening and closing procedures.) <PIC> 1 Emission control information label <PIC> 1 Emission control information label # Manufactur # General and important labels...........1 Identification number records..........1 Primary Identification (PRI-ID) number.......................................1 Hull Identification Number (HIN) ...1 Engine serial number ....................1 Emission control information ...........2 Approval label # Engine serial number The engine serial numbers are stamped on a label attached to each engine un,# Approval label of emission control certificate These labels are attached to each engine unit and to the inside of the engine compartment. (See page 56 for engine hood opening and closing procedures.) <PIC> 1 Emission control information label <PIC> 1 Emission control information label .1 Emission control information ...........2 Approval label of emission control certificate .......................2 Manufactured date label ...............3 Important labels ...............................4 Warning labels ..............................6 Other labels................................. 68 Anchor light (210FSH SPORT) ................. 67 Anchor storage compartment.................. 57 Anchoring..
243,How do I use the battery conversion feature before sailing?,2021 Boat 210FSH SPORT 210FSH DELUXE,2021 Boat 210FSH SPORT 210FSH DELUXE,True,0.713,0.250,0.250,1203,1565,6,3,3,439,84,-355,False,True,Battery switches The batteries and switch assembly are located in the battery compartment. | WARNING Do not carry any flammable substances in the compartment or any heavy or metal ite | To remove the battery: (1) Turn the battery switch to the OFF position. (See page 30.)(2) | B Backing your trailer................................ 108 Basic stain guide..............,Battery compartment | WARNING Do not carry any flammable substances in the compartment or any heavy or metal ite | Battery switches The batteries and switch assembly are located in the battery compartment. | To remove the battery: (1) Turn the battery switch to the OFF position. (See page 30.)(2),# Battery switches The batteries and switch assembly are located in the battery compartment. This boat uses two marine batteries. One battery is designated as the start battery. The start battery is connected to the starter circuit on the engine to provide current for the starter motor. The other ba # WARNING Do not carry any flammable substances in the compartment or any heavy or metal items that can damage the battery or cause a short circuit. Sparks or fire could result. The battery compartment is located on the port side of the boat at the stern. To open the battery compartment: Unhook the # To remove the battery: (1) Turn the battery switch to the OFF position. (See page 30.)(2) Disconn,"NOTICE: Make sure that the turnbuckle s on the boat cover do not contact the boat directly when using the cover. Otherwise, the boat could be damaged. (12) Turn the battery switch in the battery compartment to the OFF position. (See page 30 for more information.) # Battery compartment # WARNING Do not carry any flammable substances in the compartment or any heavy or metal items that can damage the battery or cause a short circuit. Sparks or fire could result. The battery compartment is located on the port side of the boat at the stern. To open the battery compartment: Unhook the latch, and then open the battery compartment lid. <PIC> 1 Battery compartment lid 2 Latch <PIC> 1 1 Battery compar"
244,How the ship steers?,2021 Boat 210FSH SPORT 210FSH DELUXE,2005 WaveRunner,False,0.193,0.000,0.000,1007,1340,8,3,0,507,472,-35,False,False,"Steering Your boat can be steered by turning the steering wheel the same direction you wis | Leaving a dock Because boats steer from the stern, the stern first moves in the direction | WARNING  Do not pull the remote control levers back to idle when trying to steer away fro | You need throttle to steer. <PIC> | Turning left <PIC> | Turning right <PIC> | Boating with passengers",Steering system Your watercraft can be steered by turning the handlebars $\textcircled{1}$ | Turning the watercraft Steering control depends on the combination of handlebar position a,"# Steering Your boat can be steered by turning the steering wheel the same direction you wish to travel, to the right or left. When the steering wheel is turned, the angle of the jet thrust nozzles at the rear of the craft is changed, and the change in direction of the jet thrust nozzles changes the # Leaving a dock Because boats steer from the stern, the stern first moves in the direction opposite your desired turn. It is especially important to understand this characteristic when leaving a dock. If you move the remote control levers to the forward position and simply turn the steering wheel t # WARNING  Do not pull the remote control levers back to idle when trying to steer away from obje","# Steering system Your watercraft can be steered by turning the handlebars $\textcircled{1}$ the same direction you wish to travel. When the handlebars are turned, the angle of the jet thrust nozzle $\circledcirc$ is changed, and the direction of the watercraft is changed accordingly. # Turning the watercraft Steering control depends on the combination of handlebar position and the amount of throttle. <PIC> Water sucked in through the intake grate is pressurized by the impeller in the jet pump. As the pressurized water is expelled from the pump through the jet thrust nozzle, it creates thrust to move and steer the watercraft. The higher the engine speed, the more thrust is produced. At troll"
245,What should I do if face over temperature warning on the boat?,2021 Boat 210FSH SPORT 210FSH DELUXE,2021 Boat 210FSH SPORT 210FSH DELUXE,True,0.286,0.800,0.800,1140,1457,2,4,1,684,406,-278,False,False,"Over temperature warning This model is equipped with an over temperature warning system. I | NOTICE If the cause of overheating cannot be found and corrected, take special precautions | Check engine warning If an engine sensor malfunction or a short circuit is detected, a war | Communication error warning If a generic error is detected, a warning will appear on the m","Over temperature warning This model is equipped with an over temperature warning system. I | Warnings If a malfunction or fault occurs, a warning buzzer will sound and a warning icon | NOTICE A continuous flow of water from the pilot outlets shows that water is flowing throu | O Operational requirements ........................ 12 Over temperature warning ..........","# Over temperature warning This model is equipped with an over temperature warning system. If the engines start to overheat, a warning will appear on the multifunction display and the buzzer will sound. If an engine is overheating, “Over Temperature” will be displayed. At the same time, the engine s # NOTICE If the cause of overheating cannot be found and corrected, take special precautions to avoid major engine damage while you return to shore. Single engine overheating — Shut off the overheating engine and use the properly running engine to return to shore. Operate at no-wake speed (8 km/h, 5 # Check engine warning If an engine sensor malfunction or a short circuit is detected, a warning w","# Over temperature warning This model is equipped with an over temperature warning system. If the engines start to overheat, a warning will appear on the multifunction display and the buzzer will sound. If an engine is overheating, “Over Temperature” will be displayed. At the same time, the engine speed is automatically limited to help prevent damage. Check that water comes out of the outlets while the engines are running, particularly while applying throttle. If you do not see any water at the outlets, cooling water may not be circulating in the engines. 1 Cooling water pilot outlet (port engine) 2 Cooling water pilot outlet (starboard engine) < # Warnings If a malfunction or fault occurs, "
246,"If I want to listen to music on my phone, how do I turn on the sound system?",Active Noise Canceling Truly Wireless Earphones,Active Noise Canceling Truly Wireless Earphones,True,0.454,0.500,0.500,1124,1602,5,12,5,240,89,-151,False,False,"Bluetooth Connection: Go to the Bluetooth page in the settings app on your phone. Make sur | Other Functions To activate phone Voice Assistant, press and hold to ﬁrst beep then let go | Pair a New Device Turn Bluetooth OFF on your phone/device. The earphones will go into pair | earphones App and Other Features Via the App you can enable hands-free voice control, cust","Controlling Music <PIC> Controlling Calls <PIC> | Other Functions To activate phone Voice Assistant, press and hold to ﬁrst beep then let go | Bluetooth Connection: Go to the Bluetooth page in the settings app on your phone. Make sur","# Bluetooth Connection: Go to the Bluetooth page in the settings app on your phone. Make sure Bluetooth is ON before connecting to the available device ‘earphones’. \*\*Note: If the earbuds have been previously paired to a nearby device they will automatically re-connect to it. <PIC> # Other Functions To activate phone Voice Assistant, press and hold to ﬁrst beep then let go. <PIC>To activate mucis app, press and hold to ﬁrst beep then let go. The music app resumes playback where you left of. If there was no previous session or to play other music, simply tap again and music app # Pair a New Device Turn Bluetooth OFF on your phone/device. The earphones will go into pairing mode. Alternativel","# Controlling Music <PIC> Controlling Calls <PIC> # Other Functions To activate phone Voice Assistant, press and hold to ﬁrst beep then let go. <PIC>To activate mucis app, press and hold to ﬁrst beep then let go. The music app resumes playback where you left of. If there was no previous session or to play other music, simply tap again and music app will play songs it thinks you’ll like. <PIC>To Turn ON/OFF ambient awareness and ANC Modes, press the left earbud, the earbud cycles modes. <PIC>Low Latency Mode This mode reduces the latency (time delay) inherent in Bluetooth connections. It’s best for lipsync and gaming. To turn ON/OFF Low Latency Mode, press and hold to second beep th Active No"
247,How do I use the storage compartments if I want to store wet items while on board?,2021 Boat 210FSH SPORT 210FSH DELUXE,2021 Boat 210FSH SPORT 210FSH DELUXE,True,0.346,0.375,0.625,1093,1283,7,4,2,406,382,-24,False,False,Storage compartments This boat is equipped with the following convenient on-board storage | Wet storage compartment The wet storage compartment is located under the swim platform. To | Enclosed storage compartment (starboard) The enclosed storage compartment is a large stora | Bucket storage compartment The bucket storage compartment is located in the center of the,Wet storage compartment The wet storage compartment is located under the swim platform. To | Storage compartments This boat is equipped with the following convenient on-board storage,"# Storage compartments This boat is equipped with the following convenient on-board storage compartments. Make sure that the storage compartments are securely closed before getting underway. # Wet storage compartment The wet storage compartment is located under the swim platform. To open the wet storage compartment: (1) Pull the lock handle up. (2) Turn the lock handle clockwise, and then open the rear platform hatch. <PIC> 1 Rear platform hatch 2 Lock handle <PIC> 1 Wet storage compart # Enclosed storage compartment (starboard) The enclosed storage compartment is a large storage compartment that is located on the starboard side of the boat. To open the enclosed storage compartment: Pull the","# Wet storage compartment The wet storage compartment is located under the swim platform. To open the wet storage compartment: (1) Pull the lock handle up. (2) Turn the lock handle clockwise, and then open the rear platform hatch. <PIC> 1 Rear platform hatch 2 Lock handle <PIC> 1 Wet storage compartment To close the wet storage compartment: (1) Close the rear platform hatch.(2) Turn the lock handle counterclockwise and make sure that the hatch is securely closed.(3) Push the lock handle down. # Storage compartments This boat is equipped with the following convenient on-board storage compartments. Make sure that the storage compartments are securely closed before getting underway.  Secure th"
248,How to open the battery compartment when manipulating the boat?,2021 Boat 210FSH SPORT 210FSH DELUXE,2021 Boat 210FSH SPORT 210FSH DELUXE,True,0.377,0.800,0.800,1203,1155,9,2,2,143,177,34,False,False,WARNING Do not carry any flammable substances in the compartment or any heavy or metal ite | Bucket storage compartment The bucket storage compartment is located in the center of the | Enclosed storage compartment (starboard) The enclosed storage compartment is a large stora | Anchor storage compartment The anchor storage compartment is located at the bow. To open t,Battery compartment | WARNING Do not carry any flammable substances in the compartment or any heavy or metal ite | Battery switches The batteries and switch assembly are located in the battery compartment.,"# WARNING Do not carry any flammable substances in the compartment or any heavy or metal items that can damage the battery or cause a short circuit. Sparks or fire could result. The battery compartment is located on the port side of the boat at the stern. To open the battery compartment: Unhook the # Bucket storage compartment The bucket storage compartment is located in the center of the boat at the bow. To open the bucket storage compartment:(1) Pull the lock handle up.(2) Turn the lock handle, and then open the bucket storage compartment lid. <PIC> 1 Bucket storage compartment lid 2 Lock ha # Enclosed storage compartment (starboard) The enclosed storage compartment is a large storage comp","# Battery compartment # WARNING Do not carry any flammable substances in the compartment or any heavy or metal items that can damage the battery or cause a short circuit. Sparks or fire could result. The battery compartment is located on the port side of the boat at the stern. To open the battery compartment: Unhook the latch, and then open the battery compartment lid. <PIC> 1 Battery compartment lid 2 Latch <PIC> 1 1 Battery compartment To close the battery compartment: Close the battery compartment lid, and then hook the latch onto the deck. NOTICE: Make sure that the turnbuckle s on the boat cover do not contact the boat directly when using the cover. Otherwise, the boat could be damaged."
249,How to install an anchor light while the boat is moving?,2021 Boat 210FSH SPORT 210FSH DELUXE,2021 Boat 210FSH SPORT 210FSH DELUXE,True,0.380,0.667,0.833,1203,2421,12,8,8,649,537,-112,False,False,Anchor light (210FSH DELUXE) The boat is equipped with a removable anchor light. It is als | Anchor light (210FSH SPORT) The anchor light is located at the top of the Ttop. It is also | Navigation and anchor lights switch check Push the navigation and anchor lights switch and | Anchoring WARNING Always anchor from the bow. Anchoring from the stern will make the boat,Anchor light (210FSH DELUXE) The boat is equipped with a removable anchor light. It is als | Anchor light (210FSH SPORT) The anchor light is located at the top of the Ttop. It is also | Navigation and anchor lights switch check Push the navigation and anchor lights switch and,"# Anchor light (210FSH DELUXE) The boat is equipped with a removable anchor light. It is also the “all-around” light for navigation at night or in low-visibility conditions. (See page 51 for information on the anchor light on.) The anchor light is stored in the lockable storage compartment. To set u # Anchor light (210FSH SPORT) The anchor light is located at the top of the Ttop. It is also the “all-around” light for navigation at night or in low-visibility conditions. (See page 50 for information on the anchor light on.) To use the anchor light: Pull the lock tab, raise the anchor light, and t # Navigation and anchor lights switch check Push the navigation and anchor lights switch and check","# Anchor light (210FSH DELUXE) The boat is equipped with a removable anchor light. It is also the “all-around” light for navigation at night or in low-visibility conditions. (See page 51 for information on the anchor light on. ) The anchor light is stored in the lockable storage compartment. To set up the anchor light: (1) Open the lockable storage compartment. (See page 59.) <PIC> 1 Lockable storage compartment (2) Remove the anchor light from the anchor light holder. <PIC> 1 Cap 2 Slot 3 Protrusion (6) Fit anchor light stopper B into the anchor light socket. <PIC> 1 Anchor light stopper B To store the anchor light: (1) Pull anchor light stopper B upward, remove the anchor light, and then c"
250,How do I use the jet wash function to clean the boat after using it?,2021 Boat 210FSH SPORT 210FSH DELUXE,2021 Boat 210FSH SPORT 210FSH DELUXE,True,0.405,0.600,0.800,1071,1731,9,8,8,857,817,-40,False,False,"WARNING The jet wash system must be used only by a passenger who is not operating the boat | To use the jet wash: (1) Connect the coil hose to the hose fitting. <PIC> 1 Coil hose 2 Ho | NOTICE  If the jet wash system will not be used for an extended period, turn the shut-off | TIP:  The water supply will start 5 seconds after the jet wash switch is pushed.  The wa",Jet wash | WARNING The jet wash system must be used only by a passenger who is not operating the boat | To use the jet wash: (1) Connect the coil hose to the hose fitting. <PIC> 1 Coil hose 2 Ho,"# WARNING The jet wash system must be used only by a passenger who is not operating the boat. While the jet wash system is being used, the boat operator must attach the engine shut-off cord (lanyard) to their PFD and scan constantly for people, objects, and other watercraft. # To use the jet wash: (1) Connect the coil hose to the hose fitting. <PIC> 1 Coil hose 2 Hose fitting (2) Start the engines. (See page 96.)(3) Push the jet wash switch. <PIC> 1 Jet wash switch # NOTICE  If the jet wash system will not be used for an extended period, turn the shut-off valve to the closed position. To prevent water from freezing in the jet wash hoses when storing the boat in freezing temperatures, drain ","# Jet wash # WARNING The jet wash system must be used only by a passenger who is not operating the boat. While the jet wash system is being used, the boat operator must attach the engine shut-off cord (lanyard) to their PFD and scan constantly for people, objects, and other watercraft. <PIC> 1 Jet wash switch <PIC> (4) Move the jet wash handle lever to discharge water. <PIC> 1 Jet wash handle lever To stop using the jet wash:(1) Push the jet wash switch.(2) Stop the engines. (See page 98.)(3) Push the collar on the hose fitting inward, and then disconnect the coil hose from the fitting. <PIC> 1 Hose fittingTo turn the water supply on or off:(1) Stop the engines. (See page 98.)(2) Open the re"
