id,question,mode,status,elapsed,agent_type,product_name,manual_name,ret,error
67,"""吹风机冷机时，该如何启动？""",http,ok,19.28,,,,"""冷机启动步骤如下：\n1. 点火：将停机开关调至启动位置。\n2. 阻风门：将阻风门控制器调至阻风门位置（A）<PIC>。\n3. 泵油：反复按压泵油膜片直至燃油充满膜片。\n4. 启动：左手将设备机身按压在地面，右手握紧启动手柄，缓慢拉动启动绳至感受到阻力后，快速用力拉动 <PIC>。\n5. 启动后：发动机点火后立即按下阻风门控制器，重复操作直至发动机启动。"", [""Manual04_25"", ""Manual04_28""]",
90,"""椅子的扶手使用一段时间后为什么会松动？""",http,ok,9.06,,,,"""大多数情况下，扶手和椅背的螺丝会在使用一段时间后松动，重新拧紧螺丝即可解决问题。"", []",
98,"""哪些物品不适合在洗碗机中清洗？""",http,ok,66.71,,,,"""根据手册，以下物品不适合在洗碗机中清洗：\n1. 沾有烟灰、蜡烛残渣、抛光剂、染料、化学品等的餐具。\n2. 铁制器具（以免生锈或在其他物品上留下污渍）。\n3. 带有木质或骨质手柄、黏合部件、不耐热部件的银质餐具、刀具。\n4. 铜和镀锡容器。\n5. 带装饰图案的玻璃、光泽瓷器、瓷器的装饰花纹、铝制和银质器具（可能会褪色或失去光泽）。\n6. 某些精致玻璃和水晶。"", []",
105,"""如何安装空气净化器的脚轮？""",http,ok,39.08,,,,"""1. 空气净化器包装盒内有一小盒，内含 4 个脚轮和 8 颗螺丝。\n2. 用螺丝刀拆下空气净化器底部四个底座。\n3. 每个脚轮用两颗螺丝替换原底座。\n4. 保留拆下的底座和螺丝以备后续使用。"", []",
109,"""如何清洁空气净化器的滤网？""",http,ok,13.86,,,,"""若主滤网过脏请直接更换，严禁用水清洗。建议在更换滤网期间，可用吸尘器或软刷清洁预过滤网。为保证最佳效果，建议每月清洁设备及预过滤网1-2次。"", []",
114,"""启动健身单车前，我需要做什么？""",http,ok,74.76,,,,"""启动健身单车前，您需做好以下准备：\n1. 选择坚固、水平的场地，预留至少2.3米×1.8米的运动空间 <PIC>。\n2. 阅读安全说明并完成装配，确保所有配件紧固 <PIC>。\n3. 检查机器性能正常并记录序列号，旋转旋钮调节水平脚垫以确保单车稳固 <PIC>。\n4. 首次开机需设置日期、时间及计量单位 <PIC>。\n5. 根据身高调节座椅高度 <PIC>，并将脚踏绑带固定在鞋面上 <PIC>。\n6. 穿着适合运动的衣物和橡胶底运动鞋。"", [""Manual14_3"", ""Manual14_4"", ""Manual14_17"", ""exercise_bikes_02"", ""Manual14_24"", ""Manual14_25""]",
131,"""购买健身追踪器后，包装盒里应该有什么？""",http,ok,78.63,,,,"""你的健身追踪器包装盒包含：配有小号表带的手表 <PIC>、充电线 <PIC> 以及额外大号表带 <PIC>。"", [""fitness_trackers_01"", ""fitness_trackers_02"", ""fitness_trackers_03""]",
132,"""我刚发现健身追踪器电量低，该如何正确为其充电？""",http,ok,23.76,,,,"""将充电线插入电脑的USB端口、UL认证的USB墙充充电器或其他低功耗充电设备。将充电线的另一端靠近手表背面的充电接口，直至磁吸吸附，确保充电线上的金属触点与手表背面的接口对齐。<PIC> 完全充满电大约需要1-2小时，充电12分钟即可续航24小时。"", [""Manual16_1""]",
228,"""如何为混合即时相机安装肩带？""",http,ok,51.83,,,,"""打开肩带卡扣。使用卡扣安装工具按图示打开肩带卡扣 <PIC>。将肩带卡扣安装到每个挂绳环上。将挂绳环钩入卡扣开口。用另一只手按住卡扣，取出工具 <PIC>。将卡扣穿过每个挂绳环。将卡扣完全旋转穿过挂绳环，直至咔哒闭合 <PIC>。将肩带穿过每个卡扣 <PIC>。"", [""Manual29_12"", ""hybrid_instant_camera_03"", ""hybrid_instant_camera_04"", ""hybrid_instant_camera_05""]",
293,"""How can I erase all images from my camera if I don't like these.""",http,ok,72.70,,,,"""To erase all images, display the image and press the Delete button (<PIC>). Then, turn the dial to select [OK] (<PIC>) and press the SET button. All unprotected images will be erased."", [""Manual10_185"", ""Manual10_187""]",
